City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Tapes,BR,-30.67,-51.4,67.6,55,0,3.38,clear sky
300,Santa Rosa,PH,14.31,121.11,80.6,88,75,4.7,broken clouds
301,Guaruja,BR,-23.99,-46.26,79.0,26,95,1.16,heavy intensity rain
302,Samarai,PG,-10.62,150.67,76.78,81,78,9.55,broken clouds
303,Tasiilaq,GL,65.61,-37.64,37.4,74,20,10.29,few clouds
304,Mareeba,AU,-17.0,145.43,66.2,88,79,4.7,broken clouds
305,Condado,CU,21.88,-79.84,84.2,70,40,11.41,scattered clouds
306,Dudinka,RU,69.41,86.18,21.2,100,40,8.95,scattered clouds
307,Zhmerynka,UA,49.04,28.11,64.99,88,90,4.47,overcast clouds
308,Tiete,BR,-23.1,-47.71,69.8,83,75,12.75,moderate rain
309,Vila Franca Do Campo,PT,37.72,-25.43,75.2,78,40,6.93,scattered clouds
310,El Playon,CO,7.47,-73.2,77.0,61,40,6.93,scattered clouds
311,Sayyan,YE,15.17,44.32,61.97,28,0,13.8,clear sky
312,Laguna,US,38.42,-121.42,59.0,87,1,5.82,clear sky
313,Ust-Maya,RU,60.42,134.53,30.09,91,47,3.87,scattered clouds
314,Itaituba,BR,-4.28,-55.98,104.18,21,93,5.03,overcast clouds
315,Tukrah,LY,32.53,20.58,73.06,58,0,12.08,clear sky
316,La Ronge,CA,55.1,-105.28,35.6,86,75,14.99,broken clouds
317,Hornepayne,CA,49.21,-84.77,44.71,84,100,11.63,overcast clouds
318,Campbell River,CA,50.02,-125.24,55.99,93,90,13.87,overcast clouds
319,Tucurui,BR,-3.77,-49.67,99.46,32,95,5.1,overcast clouds
320,Jibuti,DJ,11.5,42.5,87.8,62,1,8.05,clear sky
321,San Cristobal,VE,7.77,-72.22,86.0,55,40,2.24,scattered clouds
322,Fuxin,CN,42.02,121.66,58.17,77,0,7.9,clear sky
323,Salalah,OM,17.02,54.09,80.6,74,40,5.82,scattered clouds
324,Mecca,SA,21.43,39.83,87.62,41,0,3.58,clear sky
325,Mount Abu,IN,24.6,72.7,71.46,40,1,2.33,clear sky
326,Liku,ID,-0.73,119.89,75.7,86,100,1.74,moderate rain
327,Seoul,KR,37.57,126.98,60.8,59,1,4.56,clear sky
328,Shetpe,KZ,44.17,52.12,50.88,44,0,8.72,clear sky
329,Ilula,TZ,-7.68,36.04,80.6,42,20,14.99,few clouds
330,Forbes,AU,-33.38,148.02,48.99,79,0,3.33,clear sky
331,Fort-Shevchenko,KZ,44.51,50.26,59.52,39,0,17.9,clear sky
332,Yangambi,CD,0.81,24.43,73.42,92,66,2.51,broken clouds
